version,gamma_index,mesh_index,gamma,mesh_size_mm,index,d_mm,force_N,gap_mm,production_relative_residual,hp_relative_residual,force_reference_error_over_bound,gap_reference_error_over_bound,evaluation_full_value,evaluation_free_value,is_original_target,bisection_depth,audit_status
new,0,1,1e-06,0.0625,3,0.25,0.0007670750871515521,0.0011390516368741245,8.012105688770596e-13,8.0139638086326252956381272707992771366429368862943E-13,0.000001877724635723215380956308276278524818659735501903850971602377893642212624608219816347594492587679262,0.000001970301942296568984073818709169886276127960205078125,9.5225124551537401602021829383796782082468567037286958525462608429180840122355063E-16,9.1624212008400906836422711430928878571105438657600520257774714799262079543042246E-16,True,0,pass
new,0,1,1e-06,0.0625,4,0.251953125,0.0017015333971736753,0.0005719029803636158,1.05535859570948e-15,1.0897574134295877834442786893497739801176947714494E-15,1.022637764712037908347806967005230463163114497356477449980120493937360162714631812386923229321617063E-9,3.732415746263917274096864125606181375000000E-10,4.4746478759024764019246348770018895373790587812581382009911369901235861889422157E-16,4.2093127334823876693102607108993332987046244401580966384074147045867011697728450E-16,False,4,pass
new,0,1,1e-06,0.0625,5,0.25390625,0.0028779980407470807,0.0003611569418703435,6.4155431894536905e-15,6.4083421599953745478577236071024768807429632282426E-15,2.089790458486129068439092502885315122500894446254559410206100363906990877493186534642277006349708084E-9,1.45905471889452393350032387513015248125000000E-9,9.7082642862690784821787434395300681566065093056269762553180592499680691284897945E-16,9.5420896646204702728732939558048950413811871739653154839475802117253913927976460E-16,False,4,pass
new,0,1,1e-06,0.0625,6,0.2578125,0.005417733585448529,0.00020670829194730796,1.0621937860837579e-14,8.8793163526894648155605024729602843201203632259483E-15,1.834456387062714360928862421143770553857727301809604976022549743973442516502167501868957332624782197E-9,8.4700012378452649014511480261558714199218750E-11,5.2751058623667575555703217433407649055108078917863379184603555443043439632568191E-15,5.2683032526296963840280919798743625568809236373437357358524880478527283958208508E-15,False,3,pass
new,0,1,1e-06,0.0625,7,0.265625,0.010671061555951763,0.00011309747324429742,1.0992588203316458e-14,1.8401993388978132966197316225395656002233060798993E-14,5.364147423659698905435428939999685079284369457927460533929085370092579035651629267295203357262375429E-10,8.33581510416043000833090691503956705000000E-10,1.0448939286146262589828836559593190613836494714985468423135090627717195626018574E-14,1.0446860266330253783595935539092773621680716742058071528028408394069950433021396E-14,False,2,pass
new,0,1,1e-06,0.0625,8,0.28125,0.021386458421012923,6.0635524298333554e-05,1.2201284584727091e-12,1.2175418738366381377974861891493715992439665262414E-12,2.758513852051667593553107287196721098933393134878551249013149962120907717070665413496361477992126867E-8,3.070501473814375373720761624024464333608906250E-7,6.6737788036427738113729027567072912436605488689571653467371915611037370250594182E-14,6.6697755299785385105422866740835420419920858267272892034076638250968760443422158E-14,True,1,pass
new,0,1,1e-06,0.0625,9,0.3046875,0.037799608040061675,3.6267751977428877e-05,8.325181415493624e-11,8.3249248620193671463809774133898670290880327356396E-11,5.782477744304304495704672500803858722722878088838737011605858742421274714973089812555771362687921641E-7,0.0000127291470390675943448650252385347682136505468750,1.1863617651580236668381383947069473110576288426464647030551577412168780575634320E-13,1.1862858029448612293256849097204047250139446846095998675271728006312275871650114E-13,False,2,pass
new,0,1,1e-06,0.0625,10,0.328125,0.05460015932159715,2.5988484308807694e-05,7.628188481565319e-13,6.9835584119378120947514762705204383022858802227135E-13,1.233134739269330522635870653037742448914506890690650681142294436434708071453116635376140979910136084E-9,4.0418650388899970651688491357324090301875000E-8,3.9550385929987475065062287460396811249284590849119178303159452900020331501650295E-13,3.9550315891991850223602891496201403101406966922815025764640224872344261307348944E-13,False,2,pass
new,0,1,1e-06,0.0625,11,0.375,0.08940812031628328,1.6594415285488707e-05,1.7117762713522889e-12,1.5146481512301188244009231319313896786868769217390E-12,3.120260407633946050211086760215214848725587033652785316044478669301805017419654584827620823230740267E-10,4.85250974241167318701440095697132418478125E-9,1.4797691580818510945952461529688322860714181936936166824134044020745992219982113E-12,1.4797688939864599287814676839363089453126946965460070922834995743049260013537367E-12,True,1,pass
new,1,0,1e-07,0.125,0,0.0,0.0,0.25,0.0,0E-124,0E+10,0E+5,0E-124,0E-124,True,0,pass
