case_id,direction,h,relative_error,minimum_J_minus,minimum_J_plus,admissible,direction_length,tangent_direction_norm
element_b_field2_solid,cos,0.001,4.5002840245882445e-06,0.5262631219892195,0.5237366681947987,True,1.3638181696985856,880.5399967607303
element_b_field2_solid,cos,0.0001,4.500249789329538e-08,0.5251263216406411,0.5248736762611991,True,1.3638181696985856,880.5399967607303
element_b_field2_solid,cos,1e-05,4.5041174682741983e-10,0.5250126322584814,0.5249873677205371,True,1.3638181696985856,880.5399967607303
element_b_field2_solid,cos,1e-06,2.6301550617343666e-11,0.5250012632267922,0.5249987367729978,True,1.3638181696985856,880.5399967607303
element_b_field2_tm,sin,0.01,0.00031405647445952733,0.5300774734587697,0.5199065005385292,True,1.3638181696985856,0.0008412815714872908
element_b_field2_tm,sin,0.001,3.139478332938073e-06,0.5255084685159985,0.5244913712239746,True,1.3638181696985856,0.0008412815714872908
element_b_field2_tm,sin,0.0001,3.1394634573615e-08,0.525050854063301,0.5249491443340987,True,1.3638181696985856,0.0008412815714872908
element_b_field2_tm,sin,1e-05,3.119602192898638e-10,0.525005085478447,0.5249949145055268,True,1.3638181696985856,0.0008412815714872908
element_b_field2_tm,sin,1e-06,2.8017127953741973e-11,0.525000508548566,0.5249994914512739,True,1.3638181696985856,0.0008412815714872908
element_b_field2_tm,cos,0.01,0.00045186428437281784,0.5376217781730099,0.5123572402288014,True,1.3638181696985856,0.0008823145836924664
element_b_field2_tm,cos,0.001,4.516185318758022e-06,0.5262631219892195,0.5237366681947987,True,1.3638181696985856,0.0008823145836924664
element_b_field2_tm,cos,0.0001,4.516130113627255e-08,0.5251263216406411,0.5248736762611991,True,1.3638181696985856,0.0008823145836924664
element_b_field2_tm,cos,1e-05,4.488680163893502e-10,0.5250126322584814,0.5249873677205371,True,1.3638181696985856,0.0008823145836924664
element_b_field2_tm,cos,1e-06,1.825308285284657e-11,0.5250012632267922,0.5249987367729978,True,1.3638181696985856,0.0008823145836924664
mesh_1x1_field0_alternating,sin,0.01,0.00012036191805791916,0.6880437866811651,0.6718606534017053,True,1.4142135623730951,177.23924309881946
mesh_1x1_field0_alternating,sin,0.001,1.2033900910438197e-06,0.6808086788643872,0.6791903655364413,True,1.4142135623730951,177.23924309881946
mesh_1x1_field0_alternating,sin,0.0001,1.2033726737859687e-08,0.6800809108884014,0.6799190795556069,True,1.4142135623730951,177.23924309881946
mesh_1x1_field0_alternating,sin,1e-05,1.1821408580386914e-10,0.6800080915188598,0.6799919083855802,True,1.4142135623730951,177.23924309881946
mesh_1x1_field0_alternating,sin,1e-06,4.903493674990316e-11,0.6800008091561862,0.6799991908428581,True,1.4142135623730951,177.23924309881946
mesh_1x1_field0_alternating,cos,0.01,0.0001115466337775747,0.6756216149113202,0.6842532759256814,True,1.4142135623730951,257.8750978179252
mesh_1x1_field0_alternating,cos,0.001,1.1152598728370073e-06,0.679567791403467,0.680430957504903,True,1.4142135623730951,257.8750978179252
mesh_1x1_field0_alternating,cos,0.0001,1.1152888756665177e-08,0.6799568354394699,0.6800431520496136,True,1.4142135623730951,257.8750978179252
mesh_1x1_field0_alternating,cos,1e-05,1.1315496768592071e-10,0.6799956841069382,0.6800043157679526,True,1.4142135623730951,257.8750978179252
mesh_1x1_field0_alternating,cos,1e-06,7.017104315505328e-11,0.6799995684163238,0.6800004315824253,True,1.4142135623730951,257.8750978179252
mesh_2x1_field0_alternating,sin,0.01,7.552520818986332e-06,0.6819275479760037,0.67806089465355,True,1.0,59.24724086502753
mesh_2x1_field0_alternating,sin,0.001,7.552403626945262e-08,0.6801932748792705,0.6798066095470251,True,1.0,59.24724086502753
