target_index,load_multiplier,side,stored_relative_free_residual,independent_relative_free_residual,fixed_displacement_max,stored_force_balance_absolute,independent_force_balance_absolute,force_balance_scale,force_balance_absolute_tolerance,independent_minimum_J,stored_minimum_J,free_residual_pass,fixed_displacement_pass,balance_pass,positive_J_pass,independent_J_relative_error,independent_reaction_relative_error,independent_J_pass,independent_reaction_pass,independent_solid_energy_relative_error,independent_solid_energy_pass,independent_medium_energy_relative_error,independent_medium_energy_pass,status
19,0.19,matlab,8.539097209595388e-12,1.0497479687587633e-11,0.0,3.954638725093173e-14,6.706335240570138e-14,0.5700000000000001,5.7e-07,0.490230098930942,0.490230098930942,True,True,True,True,2.1437999508604093e-16,1.032743898000487e-14,True,True,4.2877769810683594e-14,True,1.9939679722978374e-16,True,pass
20,0.19999999999999998,python,7.668896097993076e-12,9.772070577645032e-12,0.0,9.171114206616109e-14,6.373850236735468e-14,0.6,6e-07,0.4661834756777605,0.4661834756777602,True,True,True,True,2.348043023990653e-16,1.1586760197371538e-14,True,True,0.0,True,0.0,True,pass
20,0.19999999999999998,matlab,8.422634273922964e-12,9.572957152561563e-12,0.0,6.750384238950895e-14,4.485355980684768e-14,0.6,6e-07,0.466183475677757,0.466183475677757,True,True,True,True,2.0703135744961113e-16,9.518538301035692e-15,True,True,8.347993120755134e-15,True,0.0,True,pass
21,0.21000000000000002,python,8.209800041023112e-12,1.0848322816821349e-11,0.0,3.5975509010712645e-14,1.1104450470300608e-14,0.6300000000000001,6.300000000000001e-07,0.44258828033746805,0.4425882803374687,True,True,True,True,2.5019582758355177e-16,1.3724512994727819e-14,True,True,1.0072417609554588e-13,True,0.0,True,pass
21,0.21000000000000002,matlab,8.381426865524242e-12,9.756121966977067e-12,0.0,9.08179399495681e-14,9.126094040849133e-14,0.6300000000000001,6.300000000000001e-07,0.4425882803374699,0.4425882803374699,True,True,True,True,2.1707944450328308e-16,8.915778794788088e-15,True,True,1.1664748334593349e-14,True,3.1446931554969537e-16,True,pass
22,0.22,python,9.430892713799022e-12,1.0827276787353907e-11,0.0,3.4861002973229915e-14,1.577142048699166e-14,0.66,6.6e-07,0.41946343721366663,0.4194634372136665,True,True,True,True,2.4993806708800613e-16,1.1480567506724335e-14,True,True,2.960622197515501e-14,True,0.0,True,pass
22,0.22,matlab,8.18934919804181e-12,9.79391916452516e-12,0.0,2.065492285884502e-14,2.0003742004269058e-14,0.66,6.6e-07,0.41946343721366475,0.41946343721366475,True,True,True,True,2.418058408870368e-16,8.987742570617191e-15,True,True,1.6579484306087124e-14,True,1.4058784466317057e-16,True,pass
23,0.23,python,8.925188452028408e-12,1.0483861234321918e-11,0.0,3.064215547965432e-14,5.284661597215745e-14,0.6900000000000001,6.900000000000001e-07,0.3968214511948325,0.39682145119483303,True,True,True,True,2.657946846077543e-16,1.0019091257930361e-14,True,True,6.6760900989382e-15,True,1.2620577323851512e-16,True,pass
23,0.23,matlab,8.239496612449626e-12,1.0530054278630718e-11,0.0,1.1146838209428012e-13,1.569865171349269e-13,0.6900000000000001,6.900000000000001e-07,0.39682145119483075,0.39682145119483075,True,True,True,True,2.468138877819124e-16,8.363575816166426e-15,True,True,1.7078370020539652e-14,True,0.0,True,pass
24,0.24,python,9.093422743530103e-12,9.516505137220882e-12,0.0,4.3745041372096626e-14,1.4661671005472934e-14,0.72,7.2e-07,0.37465418489012353,0.3746541848901232,True,True,True,True,2.713326738149476e-16,1.0959032554436389e-14,True,True,1.8454350693785908e-14,True,0.0,True,pass
24,0.24,matlab,8.215625505068084e-12,9.482376432316203e-12,0.0,7.800057519991153e-15,2.7355679048696312e-14,0.72,7.2e-07,0.3746541848901203,0.3746541848901203,True,True,True,True,2.7083458884234974e-16,7.159581754024414e-15,True,True,9.012589873709126e-15,True,2.274067002325869e-16,True,pass
25,0.25,python,9.572701101397621e-12,1.1498584836951132e-11,0.0,1.6893275538371625e-14,1.0235750533041806e-15,0.75,7.5e-07,0.3519989211108,0.35199892111080006,True,True,True,True,2.8605554613611883e-16,1.0689104945292465e-14,True,True,2.8974906710633806e-14,True,0.0,True,pass
25,0.25,matlab,9.051021462431796e-12,1.0396610574883771e-11,0.0,4.1967017746309556e-14,2.0471501066083613e-15,0.75,7.5e-07,0.3519989211108017,0.3519989211108017,True,True,True,True,2.6667699274390773e-16,8.393379248124748e-15,True,True,1.8522771413191227e-14,True,0.0,True,pass
26,0.26,python,8.700631487514591e-12,1.0408723399186886e-11,0.0,5.6642703935696853e-14,9.949184207116308e-14,0.78,7.799999999999999e-07,0.3292279588944232,0.3292279588944224,True,True,True,True,3.0339486657733813e-16,8.975891498863149e-15,True,True,5.623531809607611e-14,True,0.0,True,pass
26,0.26,matlab,8.716427593526082e-12,1.0436472619064424e-11,0.0,1.1968286596494673e-13,1.2568430767839775e-13,0.78,7.799999999999999e-07,0.3292279588944201,0.3292279588944201,True,True,True,True,2.8883091613266284e-16,8.572593421608166e-15,True,True,2.4556907465536566e-15,True,1.8632258959291532e-16,True,pass
27,0.27,python,8.696488088273479e-12,1.059284936023702e-11,0.0,1.1746416690954153e-13,7.105505419728616e-14,0.81,8.1e-07,0.306409036340932,0.3064090363409315,True,True,True,True,2.9961165047675134e-16,1.1655420713866025e-14,True,True,1.6804321911016016e-14,True,1.6933589617037702e-16,True,pass
27,0.27,matlab,7.916482543561144e-12,9.315008051563952e-12,0.0,9.481330630802404e-14,5.79545989663446e-14,0.81,8.1e-07,0.30640903634093275,0.30640903634093275,True,True,True,True,3.0972641347374087e-16,6.527484010703768e-15,True,True,6.4016464422919045e-15,True,5.080076885111318e-16,True,pass
28,0.28,python,7.711254609145605e-12,1.0130936472800349e-11,0.0,2.5115590802076537e-14,5.009554625647218e-15,0.8400000000000001,8.4e-07,0.28370461862077195,0.2837046186207723,True,True,True,True,3.208416985177239e-16,1.0171430223605895e-14,True,True,1.6225982628450898e-14,True,0.0,True,pass
28,0.28,matlab,8.810774581415894e-12,1.0775499056868837e-11,0.0,7.749483957030838e-14,5.0183186011417923e-14,0.8400000000000001,8.4e-07,0.2837046186207729,0.2837046186207729,True,True,True,True,2.8746219709123815e-16,6.839019452127603e-15,True,True,3.2665465028328434e-14,True,0.0,True,pass
29,0.29,python,8.26977990608056e-12,1.0338185063104354e-11,0.0,3.9983445677392e-15,5.262644512800806e-14,0.8699999999999999,8.699999999999998e-07,0.26115928945340394,0.26115928945340355,True,True,True,True,3.430654533351025e-16,8.653333619819165e-15,True,True,1.159613365415699e-14,True,1.4078388273100907e-16,True,pass
